match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team_winp_last5,team1only_avg_runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,season_type,time_of_day,city_venue,city_venue_encoded,toss_winner_01,toss_decision_01,team_wickets_last15_ratio,team1_economy_last15,team2_economy_last15,team_avg_wickets_last15_ratio
9331181,Ba,11283,9373356.0:7857520.0:4232164.0:4566540.0:3299407.0:232000.0:7883504.0:8725723.0:7878989.0:2526390.0:8725730.0:4017523.0,Hl Ph,12634,3500958.0:4231751.0:2735081.0:2035102.0:3698337.0:5058192.0:6844718.0:4566526.0:6596582.0:4161975.0:7952804.0:8465057.0,Hl Ph,12634,Hl Ph,field,Hr Ct Sm Ie,Indore,20-10-2022,day/night match,Sd Mq Ai Ty,2022/23,7398,1.666666667,0.672131148,139,100,157.1785714,1,0,Indore_Hr Ct Sm Ie,0.008438819,1,0,1.641025641,6.81300813,7.512195122,0.887313433
8797060,Ed,20,2089079.0:6139370.0:2076192.0:62432.0:2083409.0:172199.0:2022957.0:1482998.0:1711492.0:4507208.0:3231437.0,Wt Is,41,4690258.0:4069666.0:4230127.0:1942317.0:1613926.0:2740408.0:4739552.0:5744850.0:4690104.0:3715697.0:3468870.0,Ed,20,Wt Is,field,Kn Ol Bn Bs,Bridgetown,23-01-2022,day/night match,Ed tr of Wt Is,2021/22,1406,1.285714286,1.952380952,156,50,103.5,1,0,Bridgetown_Kn Ol Bn Bs,0.011603376,1,0,0.822429907,7.755223881,7.721627409,0.970873786
9433269,We,10576,3298427.0:2288789.0:7773338.0:3519011.0:3681957.0:7671313.0:5320118.0:2922611.0:7184232.0:7661996.0:6240632.0,Ne,8987,4003390.0:1749075.0:1626526.0:4172447.0:5516720.0:7328110.0:125915.0:130437.0:7507303.0:4420828.0:5652828.0,We,10576,Ne,field,Tt Be Nm,Nottingham,02-06-2023,day/night match,Vy Bt,2023,251,0.857142857,0.672131148,173.2666667,0,154.3333333,0,0,Nottingham_Tt Be Nm,0.016877637,1,0,1.115384615,7.971181556,8.585794094,1.072665535
9587073,Ga An Ws,36084,8127230.0:4690328.0:4069666.0:7960847.0:4690188.0:4739580.0:4739552.0:5744850.0:2294823.0:9266102.0:284339.0,Bs Rs,36070,3462080.0:2436405.0:1798705.0:7550857.0:5742470.0:2740408.0:3575774.0:3200756.0:334963.0:6399210.0:6347494.0,Ga An Ws,36084,Ga An Ws,bat,Bn La Sm Ta Td,Tarouba,10-09-2023,day match,Cn Pr Le,2023,14300,2.166666667,1.975609756,164.2666667,50,144.25,0,1,Tarouba_Bn La Sm Ta Td,0.009493671,0,1,0.818965517,8.758293839,9.017786561,1.007566994
9516457,Pb Ks,30407,8127181.0:197658.0:4239038.0:2398346.0:5053082.0:4640824.0:5038046.0:8180500.0:2035102.0:3851518.0:7881845.0:7453697.0,Gt Ts,48341,1958683.0:7491224.0:8059029.0:4377610.0:2252452.0:2966879.0:5554254.0:4690230.0:3373285.0:3759846.0:6496482.0,Gt Ts,48341,Gt Ts,field,Pb Ct An IS Ba Sm Mi Ch,Chandigarh,13-04-2023,night match,In Pr Le,2023,7118,0.818181818,1.327868852,164.6666667,0,189,0,2,Chandigarh_Pb Ct An IS Ba Sm Mi Ch,0.012658228,1,0,1.1,7.964728313,7.627586207,0.941511387
9457412,Ka Ts,42573,393371.0:1594347.0:9470873.0:7960847.0:4403426.0:2614779.0:305143.0:4403503.0:4731628.0:2436356.0:2436776.0,Cm Cs,40424,7864009.0:4502392.0:6551978.0:2820957.0:2804122.0:3125506.0:8072056.0:7084972.0:2875354.0:6149268.0:393182.0,Cm Cs,40424,Cm Cs,field,Se Ba Nl Sm Mr,Dhaka,09-01-2023,night match,Bh Pr Le,2022/23,14188,1,1,158.4444444,50,147.9333333,1,2,Dhaka_Se Ba Nl Sm Mr,0.032700422,1,0,2.075,7.264241592,8.011976048,1.011029412
9292548,Aa,27,7537004.0:37351.0:1870357.0:2275195.0:4635658.0:6249256.0:1611364.0:5788320.0:3429236.0:2656541.0:2018001.0,Ia,55,2954769.0:238727.0:1776627.0:3125562.0:4377610.0:210328.0:3882850.0:2733380.0:2282125.0:4377694.0:3011735.0,Ia,55,Ia,field,Rv Gi Il Sm Ul Hd,Hyderabad,25-09-2022,night match,Aa tr of Ia,2022,13880,0.7,1.487804878,141.4,50,,0,2,Hyderabad_Rv Gi Il Sm Ul Hd,0.004219409,1,0,0.936842105,8.456327986,7.712374582,0.967914439
9271758,Ja Ks,47501,6818622.0:5490596.0:6551978.0:4403545.0:298612.0:1634611.0:3162487.0:8067002.0:7968225.0:8072056.0:4403573.0,Ge Gs,47494,6517118.0:4403531.0:4932864.0:2214792.0:7520344.0:3364234.0:1594319.0:305143.0:2270519.0:3008179.0:6686658.0,Ja Ks,47501,Ja Ks,bat,R Pa Sm Co,Colombo,18-12-2022,day match,La Pr Le,2022/23,7041,0.909090909,1.487804878,156.1538462,40,129.9333333,1,1,Colombo_R Pa Sm Co,0.022151899,0,1,1.023255814,7.258631922,7.805825243,0.987745439
9331048,Hl Ph,12634,3500958.0:4231751.0:2735081.0:3698337.0:5058192.0:2035102.0:6844718.0:8228296.0:4566526.0:6596582.0:8465057.0:4161975.0,Sa,14860,9098571.0:227793.0:5977026.0:8442244.0:1663885.0:4192558.0:6698110.0:9009265.0:3691547.0:2733401.0:4141556.0:6785582.0,Hl Ph,12634,Sa,field,Hr Ct Sm Ie,Indore,18-10-2022,day/night match,Sd Mq Ai Ty,2022/23,7398,0.272727273,0.50617284,138.5,0,157.6923077,1,0,Indore_Hr Ct Sm Ie,0.008438819,1,0,1.25,7.492063492,8.43902439,1.086182336
9123162,Id,216,2124002.0:2123974.0:7695666.0:6729862.0:6496412.0:2436251.0:3685100.0:2921680.0:2550414.0:6496482.0:8609684.0,Ia,55,3479860.0:5043310.0:3125562.0:4377610.0:210328.0:7422673.0:3882850.0:2282125.0:4859490.0:3011735.0:8725709.0,Ia,55,Ia,field,Te Ve Me Dn,Dublin,26-06-2022,day match,Ia tr of Id,2022,6831,0.347826087,0.50617284,154.2666667,0,148.5,0,1,Dublin_Te Ve Me Dn,0.002109705,1,0,0.654867257,7.080270068,7.734052993,0.93571205
